"A. E. Pegler",,,,
"A. L. Harris",,,,
"Adam Steinmetz Kennard","Q98555865","1874 United Kingdom general election","Salisbury","Conservative Party"
"Alan Platt",,,,
"Andrew Reid",,,,
"B. Gordon-Storkey",,,,
"Barry Kirby",,,,
"Bryan Meloy",,,,
"C. W. V. Hinds",,,,
"Christopher J. J. Balfour",,,,
"D. G. Halford",,,,
"D. Halford",,,,
"Daniel Woolf",,,,
"David Hulme",,,,
"Edward John Brennan",,,,
"F. J. V. H. Dashwood",,,,
"Fran Boait","Q67499213","2019 United Kingdom general election","Gloucester","Labour Co-operative"
"Gary Phipps",,,,
"George Ridgeon","Q76130513","2019 United Kingdom general election","Cheltenham","Official Monster Raving Loony Party"
"Gerald Hartley",,,,
"Gordon E Payne",,,,
"H. D. Keith Scott",,,,
"J. Waters",,,,
"James P. Heppell",,,,
"Jeremy Hilton",,,,
"John Henry Loftus",,,,
"John M. Sewell",,,,
"John Ward",,,,
"Jonathan Ingleby",,,,
"Kevin E. Stephens",,,,
"M. D. Golder",,,,
"M. Golder",,,,
"Michael Byfield",,,,
"Mike Smith",,,,
"Moira Hamilton",,,,
"Patrick Herbert Lort-Phillips",,,,
"Paul James",,,,
"Peter Munisamy",,,,
"R. Morgan",,,,
"Rebecca Trimnell","Q75839183","2019 United Kingdom general election","Gloucester","Liberal Democrats"
"Richard Ford",,,,
"Richard Rhodes",,,,
"Russell Eckley",,,,
"Sophy Gardner",,,,
"Stewart Smyth",,,,
"Sue Powell",,,,
"Terry Lines",,,,
"Theobald Mathew",,,,
"Thomas Henry Mordey",,,,
"Tim Bullamore",,,,
"William Cother",,,,
"William Levason Edwards",,,,
